# (yi, xi, zi)
3.040000000000000000e+03 2.919999999999999929e+01 2.539999999999999858e+01
2.470000000000000000e+03 2.469999999999999929e+01 2.219999999999999929e+01
3.610000000000000000e+03 3.229999999999999716e+01 3.220000000000000284e+01
3.480000000000000000e+03 3.130000000000000071e+01 3.100000000000000000e+01
3.810000000000000000e+03 3.150000000000000000e+01 3.089999999999999858e+01
2.330000000000000000e+03 2.450000000000000000e+01 2.389999999999999858e+01
1.800000000000000000e+03 1.989999999999999858e+01 1.919999999999999929e+01
3.110000000000000000e+03 2.730000000000000071e+01 2.719999999999999929e+01
3.160000000000000000e+03 2.710000000000000142e+01 2.630000000000000071e+01
2.310000000000000000e+03 2.400000000000000000e+01 2.389999999999999858e+01
4.360000000000000000e+03 3.379999999999999716e+01 3.320000000000000284e+01
1.880000000000000000e+03 2.150000000000000000e+01 2.100000000000000000e+01
3.670000000000000000e+03 3.220000000000000284e+01 2.900000000000000000e+01
1.740000000000000000e+03 2.250000000000000000e+01 2.200000000000000000e+01
2.250000000000000000e+03 2.750000000000000000e+01 2.380000000000000071e+01
2.650000000000000000e+03 2.560000000000000142e+01 2.530000000000000071e+01
4.970000000000000000e+03 3.450000000000000000e+01 3.420000000000000284e+01
2.620000000000000000e+03 2.619999999999999929e+01 2.569999999999999929e+01
2.900000000000000000e+03 2.669999999999999929e+01 2.639999999999999858e+01
1.670000000000000000e+03 2.110000000000000142e+01 2.000000000000000000e+01
2.540000000000000000e+03 2.410000000000000142e+01 2.389999999999999858e+01
3.840000000000000000e+03 3.069999999999999929e+01 3.069999999999999929e+01
3.800000000000000000e+03 3.270000000000000284e+01 3.260000000000000142e+01
4.600000000000000000e+03 3.260000000000000142e+01 3.250000000000000000e+01
1.900000000000000000e+03 2.210000000000000142e+01 2.080000000000000071e+01
2.530000000000000000e+03 2.530000000000000071e+01 2.310000000000000142e+01
2.920000000000000000e+03 3.080000000000000071e+01 2.980000000000000071e+01
4.990000000000000000e+03 3.889999999999999858e+01 3.810000000000000142e+01
1.670000000000000000e+03 2.210000000000000142e+01 2.130000000000000071e+01
3.310000000000000000e+03 2.919999999999999929e+01 2.850000000000000000e+01
3.450000000000000000e+03 3.010000000000000142e+01 2.919999999999999929e+01
3.600000000000000000e+03 3.139999999999999858e+01 3.139999999999999858e+01
2.850000000000000000e+03 2.669999999999999929e+01 2.589999999999999858e+01
1.590000000000000000e+03 2.210000000000000142e+01 2.139999999999999858e+01
3.770000000000000000e+03 3.030000000000000071e+01 2.980000000000000071e+01
3.850000000000000000e+03 3.200000000000000000e+01 3.060000000000000142e+01
2.480000000000000000e+03 2.319999999999999929e+01 2.260000000000000142e+01
3.570000000000000000e+03 3.030000000000000071e+01 3.030000000000000071e+01
2.620000000000000000e+03 2.989999999999999858e+01 2.380000000000000071e+01
1.890000000000000000e+03 2.080000000000000071e+01 1.839999999999999858e+01
3.030000000000000000e+03 3.320000000000000284e+01 2.939999999999999858e+01
3.030000000000000000e+03 2.819999999999999929e+01 2.819999999999999929e+01
